title,url,description,document_type,category,subcategory,slug,file_name,source_line_number
Archive a threshold notification,https://docs.metronome.com/api-reference/alerts/archive-a-threshold-notification.md,Permanently disable a threshold notification and remove it from active monitoring across all customers. Archived threshold notifications stop evaluating immediately and can optionally release their uniqueness key for reuse in future threshold notification configurations.,api_reference,alerts,,archive-a-threshold-notification,archive-a-threshold-notification.md,5
Create a threshold notification,https://docs.metronome.com/api-reference/alerts/create-a-threshold-notification.md,"Create a new threshold notification to monitor customer spending, balances, and billing metrics in real-time. Metronome's notification system provides industry-leading speed with immediate evaluation capabilities, enabling you to proactively manage customer accounts and prevent revenue leakage.",api_reference,alerts,,create-a-threshold-notification,create-a-threshold-notification.md,6
Get a threshold notification,https://docs.metronome.com/api-reference/alerts/get-a-threshold-notification.md,"Retrieve the real-time evaluation status for a specific threshold notification-customer pair. This endpoint provides instant visibility into whether a customer has triggered a threshold notification condition, enabling you to monitor account health and take proactive action based on current threshol…",api_reference,alerts,,get-a-threshold-notification,get-a-threshold-notification.md,7
Get all threshold notifications,https://docs.metronome.com/api-reference/alerts/get-all-threshold-notifications.md,Retrieve all threshold notification configurations and their current statuses for a specific customer in a single API call. This endpoint provides a comprehensive view of all threshold notification monitoring a customer account.,api_reference,alerts,,get-all-threshold-notifications,get-all-threshold-notifications.md,8
Reset a threshold notification,https://docs.metronome.com/api-reference/alerts/reset-a-threshold-notification.md,"Force an immediate re-evaluation of a specific threshold notification for a customer, clearing any previous state and triggering a fresh assessment against current thresholds. This endpoint ensures threshold notification accuracy after configuration changes or data corrections.",api_reference,alerts,,reset-a-threshold-notification,reset-a-threshold-notification.md,9
API quickstart,https://docs.metronome.com/api-reference/api-quickstart.md,Get connected to Metronome's API and make your first call in minutes.,api_reference,,,api-quickstart,api-quickstart.md,10
API Authentication,https://docs.metronome.com/api-reference/authentication.md,,api_reference,,,authentication,authentication.md,11
Archive a billable metric,https://docs.metronome.com/api-reference/billable-metrics/archive-a-billable-metric.md,"Use this endpoint to retire billable metrics that are no longer used. After a billable metric is archived, that billable metric can no longer be used in any new Products to define how that product should be metered. If you archive a billable metric that is already associated with a Product, the Prod…",api_reference,billable-metrics,,archive-a-billable-metric,archive-a-billable-metric.md,12
Create a billable metric,https://docs.metronome.com/api-reference/billable-metrics/create-a-billable-metric.md,Create billable metrics programmatically with this endpoint—an essential step in configuring your pricing and packaging in Metronome.,api_reference,billable-metrics,,create-a-billable-metric,create-a-billable-metric.md,13
Get a billable metric,https://docs.metronome.com/api-reference/billable-metrics/get-a-billable-metric.md,"Retrieves the complete configuration for a specific billable metric by its ID. Use this to review billable metric setup before associating it with products. Returns the metric's `name`, `event_type_filter`, `property_filters`, `aggregation_type`, `aggregation_key`, `group_keys`, `custom fields`, and…",api_reference,billable-metrics,,get-a-billable-metric,get-a-billable-metric.md,14
Get billable metrics for a customer,https://docs.metronome.com/api-reference/billable-metrics/get-billable-metrics-for-a-customer.md,Get all billable metrics available for a specific customer. Supports pagination and filtering by current plan status or archived metrics. Use this endpoint to see which metrics are being tracked for billing calculations for a given customer.,api_reference,billable-metrics,,get-billable-metrics-for-a-customer,get-billable-metrics-for-a-customer.md,15
List all billable metrics,https://docs.metronome.com/api-reference/billable-metrics/list-all-billable-metrics.md,"Retrieves all billable metrics with their complete configurations. Use this for programmatic discovery and management of billable metrics, such as associating metrics to products and auditing for orphaned or archived metrics.  Important: Archived metrics are excluded by default; use `include_archive…",api_reference,billable-metrics,,list-all-billable-metrics,list-all-billable-metrics.md,16
Update a billable metric,https://docs.metronome.com/api-reference/billable-metrics/update-a-billable-metric.md,Updates only the display name of an existing billable metric. Use this to correct mistakes or apply standardized naming conventions across all billable metrics. Returns the billable metric ID to confirm the update.,api_reference,billable-metrics,,update-a-billable-metric,update-a-billable-metric.md,17
Amend a contract,https://docs.metronome.com/api-reference/contracts/amend-a-contract.md,Amendments will be replaced by Contract editing. New clients should implement using the `editContract` endpoint. Read more about the migration to contract editing [here](/guides/implement-metronome/migrate-amendments-to-edits/) and reach out to your Metronome representative for more details. Once co…,api_reference,contracts,,amend-a-contract,amend-a-contract.md,18
Archive a contract,https://docs.metronome.com/api-reference/contracts/archive-a-contract.md,"Permanently end and archive a contract along with all its terms. Any draft invoices will be canceled, and all upcoming scheduled invoices will be voided–also all finalized invoices can optionally be voided. Use this in the event a contract was incorrectly created and needed to be removed from a cust…",api_reference,contracts,,archive-a-contract,archive-a-contract.md,19
Create a contract,https://docs.metronome.com/api-reference/contracts/create-a-contract.md,"Contracts define a customer's products, pricing, discounts, access duration, and billing configuration. Contracts serve as the central billing agreement for both PLG and Enterprise customers. You can automatically grant customers access to your products and services directly from your product or CRM…",api_reference,contracts,,create-a-contract,create-a-contract.md,20
Create a package,https://docs.metronome.com/api-reference/contracts/create-a-package.md,"Create a package that defines a set of reusable, time-relative contract terms that can be used across cohorts of customers. Packages provide an abstraction layer on top of rate cards to provide an easy way to provision customers with standard pricing.",api_reference,contracts,,create-a-package,create-a-package.md,21
Create historical invoices,https://docs.metronome.com/api-reference/contracts/create-historical-invoices.md,"Create historical usage invoices for past billing periods on specific contracts. Use this endpoint to generate retroactive invoices with custom usage line items, quantities, and date ranges. Supports preview mode to validate invoice data before creation. Ideal for billing migrations or correcting pa…",api_reference,contracts,,create-historical-invoices,create-historical-invoices.md,22
Edit a contract,https://docs.metronome.com/api-reference/contracts/edit-a-contract.md,The ability to edit a contract helps you react quickly to the needs of your customers and your business.,api_reference,contracts,,edit-a-contract,edit-a-contract.md,23
Get a contract (v1),https://docs.metronome.com/api-reference/contracts/get-a-contract-v1.md,This is the v1 endpoint to get a contract. New clients should implement using the v2 endpoint.,api_reference,contracts,,get-a-contract-v1,get-a-contract-v1.md,24
Get a contract (v2),https://docs.metronome.com/api-reference/contracts/get-a-contract-v2.md,"Gets the details for a specific contract, including contract term, rate card information, credits and commits, and more.",api_reference,contracts,,get-a-contract-v2,get-a-contract-v2.md,25
Get contract edit history,https://docs.metronome.com/api-reference/contracts/get-contract-edit-history.md,"List all the edits made to a contract over time. In Metronome, you can edit a contract at any point after it's created to fix mistakes or reflect changes in terms. Metronome stores a full history of all edits that were ever made to a contract, whether through the UI, `editContract` endpoint, or othe…",api_reference,contracts,,get-contract-edit-history,get-contract-edit-history.md,26
Get subscription quantity history,https://docs.metronome.com/api-reference/contracts/get-subscription-quantity-history.md,Get the history of subscription quantities and prices over time for a given `subscription_id`. This endpoint can be used to power an in-product experience where you show a customer their historical changes to seat count. Future changes are not included in this endpoint - use the `getContract` endpoi…,api_reference,contracts,,get-subscription-quantity-history,get-subscription-quantity-history.md,27
Get subscription seats history,https://docs.metronome.com/api-reference/contracts/get-subscription-seats-history.md,"Get the history of subscription seats schedule over time for a given `subscription_id`. This endpoint provides information about seat assignments and total quantities for different time periods, allowing you to track how seat assignments have changed over time.",api_reference,contracts,,get-subscription-seats-history,get-subscription-seats-history.md,28
Get the rate schedule for a contract,https://docs.metronome.com/api-reference/contracts/get-the-rate-schedule-for-a-contract.md,"For a specific customer and contract, get the rates at a specific point in time. This endpoint takes the contract's rate card into consideration, including scheduled changes. It also takes into account overrides on the contract.",api_reference,contracts,,get-the-rate-schedule-for-a-contract,get-the-rate-schedule-for-a-contract.md,29
List contracts associated with a package,https://docs.metronome.com/api-reference/contracts/list-contracts-associated-with-a-package.md,"For a given package, returns all contract IDs and customer IDs associated with the package over a specific time period.",api_reference,contracts,,list-contracts-associated-with-a-package,list-contracts-associated-with-a-package.md,30
List customer contracts (v1),https://docs.metronome.com/api-reference/contracts/list-customer-contracts-v1.md,"Retrieves all contracts for a specific customer, including pricing, terms, credits, and commitments. Use this to view a customer's contract history and current agreements for billing management. Returns contract details with optional ledgers and balance information.",api_reference,contracts,,list-customer-contracts-v1,list-customer-contracts-v1.md,31
List customer contracts (v2),https://docs.metronome.com/api-reference/contracts/list-customer-contracts-v2.md,"For a given customer, lists all of their contracts in chronological order.",api_reference,contracts,,list-customer-contracts-v2,list-customer-contracts-v2.md,32
Set a contract usage filter,https://docs.metronome.com/api-reference/contracts/set-a-contract-usage-filter.md,"If a customer has multiple contracts with overlapping rates, the usage filter routes usage to the appropriate contract based on a predefined group key.",api_reference,contracts,,set-a-contract-usage-filter,set-a-contract-usage-filter.md,33
Update invoice issue date,https://docs.metronome.com/api-reference/contracts/update-invoice-issue-date.md,"Updates the issue date of a specific DRAFT invoice within a contract. Use this endpoint to reschedule when an invoice should be issued without affecting future billing cycles or the underlying contract terms. Only works with invoices still in DRAFT status, and the new issue date cannot be later than…",api_reference,contracts,,update-invoice-issue-date,update-invoice-issue-date.md,34
Update the contract end date,https://docs.metronome.com/api-reference/contracts/update-the-contract-end-date.md,"Update or add an end date to a contract. Ending a contract early will impact draft usage statements, truncate any terms, and remove upcoming scheduled invoices. Moving the date into the future will only extend the contract length. Terms and scheduled invoices are not extended. In-advance subscriptio…",api_reference,contracts,,update-the-contract-end-date,update-the-contract-end-date.md,35
Add a manual balance entry,https://docs.metronome.com/api-reference/credits-and-commits/add-a-manual-balance-entry.md,Manually adjust the available balance on a commit or credit. This entry is appended to the commit ledger as a new event. Optionally include a description that provides the reasoning for the entry.,api_reference,credits-and-commits,,add-a-manual-balance-entry,add-a-manual-balance-entry.md,36
Archive a commit,https://docs.metronome.com/api-reference/credits-and-commits/archive-a-commit.md,"Archive a contract-level or customer-level commit. Use this endpoint to deactivate a commit while preserving historical records. You will not be able to archive a commit until all of the finalized usage invoices the commit has been applied to are voided, and all of the finalized invoices for commit…",api_reference,credits-and-commits,,archive-a-commit,archive-a-commit.md,37
Archive a credit,https://docs.metronome.com/api-reference/credits-and-commits/archive-a-credit.md,Archive a contract-level or customer-level credit. Use this endpoint to deactivate a credit while preserving historical records. You will not be able to archive a credit until all of the finalized invoices the credit has been applied to are voided.,api_reference,credits-and-commits,,archive-a-credit,archive-a-credit.md,38
Create a commit,https://docs.metronome.com/api-reference/credits-and-commits/create-a-commit.md,Creates customer-level commits that establish spending commitments for customers across their Metronome usage. Commits represent contracted spending obligations that can be either prepaid (paid upfront) or postpaid (billed later).,api_reference,credits-and-commits,,create-a-commit,create-a-commit.md,39
Create a credit,https://docs.metronome.com/api-reference/credits-and-commits/create-a-credit.md,"Creates customer-level credits that provide spending allowances or free credit balances for customers across their Metronome usage. Note: In most cases, you should add credits directly to customer contracts using the contract/create or contract/edit APIs.",api_reference,credits-and-commits,,create-a-credit,create-a-credit.md,40
Disable trueup for commit,https://docs.metronome.com/api-reference/credits-and-commits/disable-trueup-for-commit.md,"Disable the true-up invoice for a postpaid commit. If used, the true-up invoice will not be generated.",api_reference,credits-and-commits,,disable-trueup-for-commit,disable-trueup-for-commit.md,41
Edit a commit,https://docs.metronome.com/api-reference/credits-and-commits/edit-a-commit.md,"Edit specific details for a contract-level or customer-level commit. Use this endpoint to modify individual commit access schedules, invoice schedules, applicable products, invoicing contracts, or other fields.",api_reference,credits-and-commits,,edit-a-commit,edit-a-commit.md,42
Edit a credit,https://docs.metronome.com/api-reference/credits-and-commits/edit-a-credit.md,Edit details for a contract-level or customer-level credit.,api_reference,credits-and-commits,,edit-a-credit,edit-a-credit.md,43
Get the net balance of a customer,https://docs.metronome.com/api-reference/credits-and-commits/get-the-net-balance-of-a-customer.md,Retrieve the combined current balance across any grouping of credits and commits for a customer in a single API call. - Display real-time available balance to customers in billing dashboards - Build finance dashboards showing credit utilization across customer segments - Validate expected vs. actual…,api_reference,credits-and-commits,,get-the-net-balance-of-a-customer,get-the-net-balance-of-a-customer.md,44
List balances,https://docs.metronome.com/api-reference/credits-and-commits/list-balances.md,"Retrieve a comprehensive view of all available balances (commits and credits) for a customer. This endpoint provides real-time visibility into prepaid funds, postpaid commitments, promotional credits, and other balance types that can offset usage charges, helping you build transparent billing experi…",api_reference,credits-and-commits,,list-balances,list-balances.md,45
List commits,https://docs.metronome.com/api-reference/credits-and-commits/list-commits.md,"Retrieve all commit agreements for a customer, including both prepaid and postpaid commitments. This endpoint provides comprehensive visibility into contractual spending obligations, enabling you to track commitment utilization and manage customer contracts effectively.",api_reference,credits-and-commits,,list-commits,list-commits.md,46
List credits,https://docs.metronome.com/api-reference/credits-and-commits/list-credits.md,"Retrieve a detailed list of all credits available to a customer, including promotional credits and contract-specific credits. This endpoint provides comprehensive visibility into credit balances, access schedules, and usage rules, enabling you to build credit management interfaces and track availabl…",api_reference,credits-and-commits,,list-credits,list-credits.md,47
List seat balances,https://docs.metronome.com/api-reference/credits-and-commits/list-seat-balances.md,"Retrieve detailed balance for seat-based credits and commits from the contract's subscriptions, broken down by individual seats.",api_reference,credits-and-commits,,list-seat-balances,list-seat-balances.md,48
Release external payment gate threshold commit,https://docs.metronome.com/api-reference/credits-and-commits/release-external-payment-gate-threshold-commit.md,"If using threshold billing with an external payment gateway, Metronome does not facilitate the payment gating process on behalf of the client. As a result, clients must facilitate the transaction themselves. This end-point is used to either release or cancel the commit pending on the outcome of the…",api_reference,credits-and-commits,,release-external-payment-gate-threshold-commit,release-external-payment-gate-threshold-commit.md,49
Update the commit end date,https://docs.metronome.com/api-reference/credits-and-commits/update-the-commit-end-date.md,"Shortens the end date of a prepaid commit to terminate it earlier than originally scheduled. Use this endpoint when you need to cancel or reduce the duration of an existing prepaid commit. Only works with prepaid commit types and can only move the end date forward (earlier), not extend it.",api_reference,credits-and-commits,,update-the-commit-end-date,update-the-commit-end-date.md,50
Update the credit end date,https://docs.metronome.com/api-reference/credits-and-commits/update-the-credit-end-date.md,"Shortens the end date of an existing customer credit to terminate it earlier than originally scheduled. Only allows moving end dates forward (earlier), not extending them.",api_reference,credits-and-commits,,update-the-credit-end-date,update-the-credit-end-date.md,51
Custom fields,https://docs.metronome.com/api-reference/custom-fields.md,,api_reference,,,custom-fields,custom-fields.md,52
Create a custom field key,https://docs.metronome.com/api-reference/custom-fields/create-a-custom-field-key.md,"Creates a new custom field key for a given entity (e.g. billable metric, contract, alert).",api_reference,custom-fields,,create-a-custom-field-key,create-a-custom-field-key.md,53
Delete a custom field key,https://docs.metronome.com/api-reference/custom-fields/delete-a-custom-field-key.md,"Removes a custom field key from the allowlist for a specific entity type, preventing future use of that key across all instances of the entity. Existing values for this key on entity instances will no longer be accessible once the key is removed.",api_reference,custom-fields,,delete-a-custom-field-key,delete-a-custom-field-key.md,54
Delete custom fields,https://docs.metronome.com/api-reference/custom-fields/delete-custom-fields.md,"Remove specific custom field values from a Metronome entity instance by specifying the field keys to delete. Use this endpoint to clean up unwanted custom field data while preserving other fields on the same entity. Requires the entity type, entity ID, and array of keys to remove.",api_reference,custom-fields,,delete-custom-fields,delete-custom-fields.md,55
List custom field keys,https://docs.metronome.com/api-reference/custom-fields/list-custom-field-keys.md,"Retrieve all your active custom field keys, with optional filtering by entity type (customer, contract, product, etc.). Use this endpoint to discover what custom field keys are available before setting values on entities or to audit your custom field configuration across different entity types.",api_reference,custom-fields,,list-custom-field-keys,list-custom-field-keys.md,56
Set custom field values,https://docs.metronome.com/api-reference/custom-fields/set-custom-field-values.md,Sets custom field values on a specific Metronome entity instance. Overwrites existing values for matching keys while preserving other fields. All updates are transactional—either all values are set or none are. Custom field values are limited to 200 characters each.,api_reference,custom-fields,,set-custom-field-values,set-custom-field-values.md,57
Archive a customer,https://docs.metronome.com/api-reference/customers/archive-a-customer.md,Use this endpoint to archive a customer while preserving auditability. Archiving a customer will automatically archive all contracts as of the current date and void all corresponding invoices. Use this endpoint if a customer is onboarded by mistake.,api_reference,customers,,archive-a-customer,archive-a-customer.md,58
Archive billing provider configurations for a customer,https://docs.metronome.com/api-reference/customers/archive-billing-provider-configurations-for-a-customer.md,"Deprecate an existing billing configuration for a customer to handle churn or billing and collection preference changes. Archiving a billing configuration takes effect immediately. If there are active contracts using the configuration, Metronome will archive the configuration on the contract and imm…",api_reference,customers,,archive-billing-provider-configurations-for-a-customer,archive-billing-provider-configurations-for-a-customer.md,59
Create a customer,https://docs.metronome.com/api-reference/customers/create-a-customer.md,Create a new customer in Metronome and optionally the billing configuration (recommended) which dictates where invoices for the customer will be sent or where payment will be collected.,api_reference,customers,,create-a-customer,create-a-customer.md,60
Create or update customer ingest aliases,https://docs.metronome.com/api-reference/customers/create-or-update-customer-ingest-aliases.md,Sets the ingest aliases for a customer. Use this endpoint to associate a Metronome customer with an internal ID for easier tracking between systems. Ingest aliases can be used in the `customer_id` field when sending usage events to Metronome.,api_reference,customers,,create-or-update-customer-ingest-aliases,create-or-update-customer-ingest-aliases.md,61
Fetch billing provider configurations for a customer,https://docs.metronome.com/api-reference/customers/fetch-billing-provider-configurations-for-a-customer.md,Returns all billing configurations previously set for the customer. Use during the contract provisioning process to fetch the `billing_provider_configuration_id` needed to set the contract billing configuration.,api_reference,customers,,fetch-billing-provider-configurations-for-a-customer,fetch-billing-provider-configurations-for-a-customer.md,62
Get a customer,https://docs.metronome.com/api-reference/customers/get-a-customer.md,"Get detailed information for a specific customer by their Metronome ID. Returns customer profile data including name, creation date, ingest aliases, configuration settings, and custom fields. Use this endpoint to fetch complete customer details for billing operations or account management.",api_reference,customers,,get-a-customer,get-a-customer.md,63
Get an embeddable customer dashboard,https://docs.metronome.com/api-reference/customers/get-an-embeddable-customer-dashboard.md,"Generate secure, embeddable dashboard URLs that allow you to seamlessly integrate Metronome's billing visualizations directly into your application. This endpoint creates authenticated iframe-ready URLs for customer-specific dashboards, providing a white-labeled billing experience without building c…",api_reference,customers,,get-an-embeddable-customer-dashboard,get-an-embeddable-customer-dashboard.md,64
List customers,https://docs.metronome.com/api-reference/customers/list-customers.md,"Gets a paginated list of all customers in your Metronome account. Use this endpoint to browse your customer base, implement customer search functionality, or sync customer data with external systems. Returns customer details including IDs, names, and configuration settings. Supports filtering and pa…",api_reference,customers,,list-customers,list-customers.md,65
Set billing provider configurations for a customer,https://docs.metronome.com/api-reference/customers/set-billing-provider-configurations-for-a-customer.md,"Create a billing configuration for a customer. Once created, these configurations are available to associate to a contract and dictates which downstream system to collect payment in or send the invoice to. You can create multiple configurations per customer. The configuration formats are distinct fo…",api_reference,customers,,set-billing-provider-configurations-for-a-customer,set-billing-provider-configurations-for-a-customer.md,66
Update a customer configuration,https://docs.metronome.com/api-reference/customers/update-a-customer-configuration.md,"Update configuration settings for a specific customer, such as external system integrations (e.g., Salesforce account ID) and other customer-specific billing parameters. Use this endpoint to modify customer configurations without affecting core customer data like name or ingest aliases.",api_reference,customers,,update-a-customer-configuration,update-a-customer-configuration.md,67
Update a customer name,https://docs.metronome.com/api-reference/customers/update-a-customer-name.md,"Updates the display name for a customer record. Use this to correct customer names, update business names after rebranding, or maintain accurate customer information for invoicing and reporting. Returns the updated customer object with the new name applied immediately across all billing documents an…",api_reference,customers,,update-a-customer-name,update-a-customer-name.md,68
API idempotency,https://docs.metronome.com/api-reference/idempotency.md,,api_reference,,,idempotency,idempotency.md,69
API Reference,https://docs.metronome.com/api-reference/introduction.md,,api_reference,,,introduction,introduction.md,70
Get an invoice,https://docs.metronome.com/api-reference/invoices/get-an-invoice.md,"Retrieve detailed information for a specific invoice by its unique identifier. This endpoint returns comprehensive invoice data including line items, applied credits, totals, and billing period details for both finalized and draft invoices.",api_reference,invoices,,get-an-invoice,get-an-invoice.md,71
Get an invoice PDF,https://docs.metronome.com/api-reference/invoices/get-an-invoice-pdf.md,"Retrieve a PDF version of a specific invoice by its unique identifier. This endpoint generates a professionally formatted invoice document suitable for sharing with customers, accounting teams, or for record-keeping purposes.",api_reference,invoices,,get-an-invoice-pdf,get-an-invoice-pdf.md,72
List invoice breakdowns,https://docs.metronome.com/api-reference/invoices/list-invoice-breakdowns.md,"Retrieve granular time-series breakdowns of invoice data at hourly or daily intervals. This endpoint transforms standard invoices into detailed timelines, enabling you to track usage patterns, identify consumption spikes, and provide customers with transparency into their billing details throughout…",api_reference,invoices,,list-invoice-breakdowns,list-invoice-breakdowns.md,73
List invoices,https://docs.metronome.com/api-reference/invoices/list-invoices.md,"Retrieves a paginated list of invoices for a specific customer, with flexible filtering options to narrow results by status, date range, credit type, and more. This endpoint provides a comprehensive view of a customer's billing history and current charges, supporting both real-time billing dashboard…",api_reference,invoices,,list-invoices,list-invoices.md,74
Preview events,https://docs.metronome.com/api-reference/invoices/preview-events.md,Preview how a set of events will affect a customer's invoices. Generates draft invoices for a customer using their current contract configuration and the provided events.  This is useful for testing how new events will affect the customer's invoices before they are actually processed. Customers on c…,api_reference,invoices,,preview-events,preview-events.md,75
Regenerate an invoice,https://docs.metronome.com/api-reference/invoices/regenerate-an-invoice.md,"This endpoint regenerates a voided invoice and recalculates the invoice based on up-to-date rates, available balances, and other fees regardless of the billing period.",api_reference,invoices,,regenerate-an-invoice,regenerate-an-invoice.md,76
Void an invoice,https://docs.metronome.com/api-reference/invoices/void-an-invoice.md,"Permanently cancels an invoice by setting its status to voided, preventing collection and removing it from customer billing. Use this to correct billing errors, cancel incorrect charges, or handle disputed invoices that should not be collected. Returns the voided invoice ID with the status change ap…",api_reference,invoices,,void-an-invoice,void-an-invoice.md,77
List all packages,https://docs.metronome.com/api-reference/list-all-packages.md,"Lists all packages with details including name, aliases, duration, and terms. To view contracts on a specific package, use the `listContractsOnPackage` endpoint.",api_reference,,,list-all-packages,list-all-packages.md,78
Archive an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/archive-an-offset-lifecycle-event-notification-configuration.md,Archive an offset lifecycle event notification configuration. Archived notifications are not processed.,api_reference,notifications,,archive-an-offset-lifecycle-event-notification-configuration,archive-an-offset-lifecycle-event-notification-configuration.md,79
Create an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/create-an-offset-lifecycle-event-notification-configuration.md,Create an offset lifecycle event notification configuration. The lifecycle event type is inferred from the policy.type field.,api_reference,notifications,,create-an-offset-lifecycle-event-notification-configuration,create-an-offset-lifecycle-event-notification-configuration.md,80
Edit an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/edit-an-offset-lifecycle-event-notification-configuration.md,Edit an existing offset lifecycle event notification configuration.,api_reference,notifications,,edit-an-offset-lifecycle-event-notification-configuration,edit-an-offset-lifecycle-event-notification-configuration.md,81
Get an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/get-an-offset-lifecycle-event-notification-configuration.md,Retrieve a specific offset lifecycle event notification configuration by ID.,api_reference,notifications,,get-an-offset-lifecycle-event-notification-configuration,get-an-offset-lifecycle-event-notification-configuration.md,82
